Row,Day,day_of_week,date,page_loads,unique_visits,first_time_visits,returning_visits
519,Sunday,1,2016-02-14,3098,2277,1866,411
520,Monday,2,2016-02-15,4951,3652,3039,613
521,Tuesday,3,2016-02-16,5495,4000,3304,696
522,Wednesday,4,2016-02-17,5505,4062,3375,687
523,Thursday,5,2016-02-18,5188,3812,3156,656
524,Friday,6,2016-02-19,4002,2932,2377,555
525,Saturday,7,2016-02-20,2607,1888,1537,351
526,Sunday,1,2016-02-21,3906,2838,2355,483
527,Monday,2,2016-02-22,6360,4432,3684,748
528,Tuesday,3,2016-02-23,6046,4460,3714,746
529,Wednesday,4,2016-02-24,5938,4309,3499,810
530,Thursday,5,2016-02-25,5325,3892,3199,693
531,Friday,6,2016-02-26,4165,3048,2490,558
532,Saturday,7,2016-02-27,2829,2096,1726,370
533,Sunday,1,2016-02-28,4090,2979,2462,517
534,Monday,2,2016-02-29,5734,4224,3493,731
535,Tuesday,3,2016-03-01,6214,4474,3731,743
536,Wednesday,4,2016-03-02,5906,4333,3597,736
537,Thursday,5,2016-03-03,5814,4191,3419,772
538,Friday,6,2016-03-04,4507,3188,2624,564
539,Saturday,7,2016-03-05,2859,2064,1718,346
540,Sunday,1,2016-03-06,3897,2806,2326,480
541,Monday,2,2016-03-07,5849,4240,3503,737
542,Tuesday,3,2016-03-08,6264,4526,3743,783
543,Wednesday,4,2016-03-09,6062,4404,3624,780
544,Thursday,5,2016-03-10,5685,4159,3415,744
545,Friday,6,2016-03-11,4391,3241,2627,614
546,Saturday,7,2016-03-12,2880,2046,1638,408
547,Sunday,1,2016-03-13,3740,2673,2163,510
548,Monday,2,2016-03-14,5710,4261,3469,792
549,Tuesday,3,2016-03-15,5168,3778,3047,731
550,Wednesday,4,2016-03-16,5577,4062,3287,775
551,Thursday,5,2016-03-17,5238,3827,3134,693
552,Friday,6,2016-03-18,3931,2871,2320,551
553,Saturday,7,2016-03-19,2606,1892,1568,324
554,Sunday,1,2016-03-20,3149,2410,2028,382
555,Monday,2,2016-03-21,5565,3968,3274,694
556,Tuesday,3,2016-03-22,5281,3770,3035,735
557,Wednesday,4,2016-03-23,5202,3780,3146,634
558,Thursday,5,2016-03-24,4581,3203,2649,554
559,Friday,6,2016-03-25,3264,2281,1847,434
560,Saturday,7,2016-03-26,2344,1759,1393,366
561,Sunday,1,2016-03-27,3112,2311,1890,421
562,Monday,2,2016-03-28,5051,3655,2985,670
563,Tuesday,3,2016-03-29,5333,3944,3217,727
564,Wednesday,4,2016-03-30,5671,4078,3369,709
565,Thursday,5,2016-03-31,5097,3707,3026,681
566,Friday,6,2016-04-01,4555,2971,2408,563
567,Saturday,7,2016-04-02,2987,2129,1737,392
568,Sunday,1,2016-04-03,4257,2964,2421,543
569,Monday,2,2016-04-04,5804,4216,3426,790
570,Tuesday,3,2016-04-05,5885,4379,3597,782
571,Wednesday,4,2016-04-06,6054,4293,3522,771
572,Thursday,5,2016-04-07,5791,4147,3422,725
573,Friday,6,2016-04-08,4741,3430,2820,610
574,Saturday,7,2016-04-09,2946,2140,1740,400
575,Sunday,1,2016-04-10,4071,2864,2330,534
576,Monday,2,2016-04-11,6265,4503,3667,836
577,Tuesday,3,2016-04-12,6298,4626,3769,857
578,Wednesday,4,2016-04-13,6495,4628,3791,837
579,Thursday,5,2016-04-14,5536,4189,3431,758
580,Friday,6,2016-04-15,4737,3447,2785,662
581,Saturday,7,2016-04-16,3232,2333,1862,471
582,Sunday,1,2016-04-17,4201,3093,2504,589
583,Monday,2,2016-04-18,6806,4769,3920,849
584,Tuesday,3,2016-04-19,6769,4817,3940,877
585,Wednesday,4,2016-04-20,6581,4824,3926,898
586,Thursday,5,2016-04-21,6254,4537,3707,830
587,Friday,6,2016-04-22,5163,3685,3009,676
588,Saturday,7,2016-04-23,3851,2595,2113,482
589,Sunday,1,2016-04-24,4695,3386,2761,625
590,Monday,2,2016-04-25,7098,5224,4237,987
591,Tuesday,3,2016-04-26,7156,5392,4468,924
592,Wednesday,4,2016-04-27,6836,5056,4130,926
593,Thursday,5,2016-04-28,6329,4724,3892,832
594,Friday,6,2016-04-29,4990,3608,2922,686
595,Saturday,7,2016-04-30,3536,2489,1993,496
596,Sunday,1,2016-05-01,4366,3236,2605,631
597,Monday,2,2016-05-02,6510,4786,3909,877
598,Tuesday,3,2016-05-03,6855,4962,4085,877
599,Wednesday,4,2016-05-04,6599,4651,3744,907
600,Thursday,5,2016-05-05,5510,4105,3375,730
601,Friday,6,2016-05-06,4549,3245,2639,606
602,Saturday,7,2016-05-07,3064,2167,1760,407
603,Sunday,1,2016-05-08,3633,2663,2180,483
604,Monday,2,2016-05-09,5838,4283,3489,794
605,Tuesday,3,2016-05-10,6026,4336,3581,755
606,Wednesday,4,2016-05-11,5780,4226,3479,747
607,Thursday,5,2016-05-12,5131,3781,3101,680
608,Friday,6,2016-05-13,3928,2845,2294,551
609,Saturday,7,2016-05-14,2636,1930,1552,378
610,Sunday,1,2016-05-15,3278,2366,1922,444
611,Monday,2,2016-05-16,4785,3560,2882,678
612,Tuesday,3,2016-05-17,4886,3601,2914,687
613,Wednesday,4,2016-05-18,5145,3672,2987,685
614,Thursday,5,2016-05-19,5849,4211,3484,727
615,Friday,6,2016-05-20,4456,3324,2725,599
616,Saturday,7,2016-05-21,2960,2138,1716,422
617,Sunday,1,2016-05-22,3885,2860,2338,522
618,Monday,2,2016-05-23,5857,4155,3368,787
619,Tuesday,3,2016-05-24,6162,4345,3526,819
620,Wednesday,4,2016-05-25,6014,4254,3398,856
621,Thursday,5,2016-05-26,5652,4119,3385,734
622,Friday,6,2016-05-27,4793,3340,2692,648
623,Saturday,7,2016-05-28,2819,1995,1611,384
624,Sunday,1,2016-05-29,3687,2546,2067,479
625,Monday,2,2016-05-30,4851,3399,2701,698
626,Tuesday,3,2016-05-31,5775,4216,3413,803
627,Wednesday,4,2016-06-01,5443,3962,3193,769
628,Thursday,5,2016-06-02,5590,3959,3176,783
629,Friday,6,2016-06-03,4482,3164,2489,675
630,Saturday,7,2016-06-04,2792,1947,1533,414
631,Sunday,1,2016-06-05,3371,2449,1979,470
632,Monday,2,2016-06-06,5547,3832,3036,796
633,Tuesday,3,2016-06-07,5468,3954,3226,728
634,Wednesday,4,2016-06-08,5104,3751,3064,687
635,Thursday,5,2016-06-09,4728,3485,2812,673
636,Friday,6,2016-06-10,4024,2855,2290,565
637,Saturday,7,2016-06-11,2350,1677,1348,329
638,Sunday,1,2016-06-12,3234,2196,1779,417
639,Monday,2,2016-06-13,4948,3550,2790,760
640,Tuesday,3,2016-06-14,5247,3760,3052,708
641,Wednesday,4,2016-06-15,5003,3557,2810,747
642,Thursday,5,2016-06-16,4816,3482,2775,707
643,Friday,6,2016-06-17,4208,2818,2267,551
644,Saturday,7,2016-06-18,2454,1668,1357,311
645,Sunday,1,2016-06-19,2763,1919,1506,413
646,Monday,2,2016-06-20,4954,3522,2829,693
647,Tuesday,3,2016-06-21,4903,3470,2793,677
648,Wednesday,4,2016-06-22,4907,3464,2772,692
649,Thursday,5,2016-06-23,4625,3336,2669,667
650,Friday,6,2016-06-24,3497,2482,1947,535
651,Saturday,7,2016-06-25,1826,1358,1101,257
652,Sunday,1,2016-06-26,2307,1721,1356,365
653,Monday,2,2016-06-27,4368,3078,2433,645
654,Tuesday,3,2016-06-28,4233,3091,2466,625
655,Wednesday,4,2016-06-29,4187,2948,2377,571
656,Thursday,5,2016-06-30,3811,2726,2135,591
657,Friday,6,2016-07-01,3179,2226,1730,496
658,Saturday,7,2016-07-02,1615,1039,814,225
659,Sunday,1,2016-07-03,1788,1307,1028,279
660,Monday,2,2016-07-04,2959,2144,1653,491
661,Tuesday,3,2016-07-05,3947,2840,2235,605
662,Wednesday,4,2016-07-06,3841,2821,2248,573
663,Thursday,5,2016-07-07,3729,2700,2148,552
664,Friday,6,2016-07-08,3324,2381,1891,490
665,Saturday,7,2016-07-09,1795,1305,1036,269
666,Sunday,1,2016-07-10,2373,1655,1321,334
667,Monday,2,2016-07-11,4101,2855,2208,647
668,Tuesday,3,2016-07-12,4241,2960,2352,608
669,Wednesday,4,2016-07-13,4478,3189,2578,611
670,Thursday,5,2016-07-14,3961,2814,2214,600
671,Friday,6,2016-07-15,3367,2325,1796,529
672,Saturday,7,2016-07-16,1828,1222,951,271
673,Sunday,1,2016-07-17,2344,1636,1319,317
674,Monday,2,2016-07-18,4415,3007,2382,625
675,Tuesday,3,2016-07-19,4403,3151,2502,649
676,Wednesday,4,2016-07-20,4244,3082,2450,632
677,Thursday,5,2016-07-21,4322,3077,2404,673
678,Friday,6,2016-07-22,3456,2431,1936,495
679,Saturday,7,2016-07-23,2068,1407,1099,308
680,Sunday,1,2016-07-24,2568,1755,1374,381
681,Monday,2,2016-07-25,4770,3320,2628,692
682,Tuesday,3,2016-07-26,4621,3277,2595,682
683,Wednesday,4,2016-07-27,4470,3164,2513,651
684,Thursday,5,2016-07-28,4307,3077,2459,618
685,Friday,6,2016-07-29,3370,2366,1818,548
686,Saturday,7,2016-07-30,1960,1341,1017,324
687,Sunday,1,2016-07-31,2412,1765,1423,342
688,Monday,2,2016-08-01,4504,3095,2489,606
689,Tuesday,3,2016-08-02,4382,3138,2499,639
690,Wednesday,4,2016-08-03,4710,3369,2697,672
691,Thursday,5,2016-08-04,4324,3106,2479,627
692,Friday,6,2016-08-05,3472,2497,1980,517
693,Saturday,7,2016-08-06,1909,1339,1081,258
694,Sunday,1,2016-08-07,2365,1688,1334,354
695,Monday,2,2016-08-08,4460,3056,2438,618
696,Tuesday,3,2016-08-09,4479,3135,2482,653
697,Wednesday,4,2016-08-10,4510,3207,2550,657
698,Thursday,5,2016-08-11,4340,3111,2491,620
699,Friday,6,2016-08-12,3508,2436,1933,503
700,Saturday,7,2016-08-13,2030,1420,1122,298
701,Sunday,1,2016-08-14,2586,1749,1399,350
702,Monday,2,2016-08-15,4476,2970,2346,624
703,Tuesday,3,2016-08-16,3232,2299,1823,476
704,Wednesday,4,2016-08-17,4291,3106,2498,608
705,Thursday,5,2016-08-18,4247,2926,2327,599
706,Friday,6,2016-08-19,3477,2539,2045,494
707,Saturday,7,2016-08-20,2169,1470,1169,301
708,Sunday,1,2016-08-21,2430,1808,1453,355
709,Monday,2,2016-08-22,4358,3082,2439,643
710,Tuesday,3,2016-08-23,4465,3249,2550,699
711,Wednesday,4,2016-08-24,4550,3210,2615,595
712,Thursday,5,2016-08-25,4147,3011,2380,631
713,Friday,6,2016-08-26,3634,2532,2000,532
714,Saturday,7,2016-08-27,2014,1430,1141,289
715,Sunday,1,2016-08-28,2687,1910,1555,355
716,Monday,2,2016-08-29,4376,3115,2521,594
717,Tuesday,3,2016-08-30,4318,3226,2622,604
718,Wednesday,4,2016-08-31,4441,3219,2620,599
719,Thursday,5,2016-09-01,4234,3116,2556,560
720,Friday,6,2016-09-02,3027,2230,1762,468
721,Saturday,7,2016-09-03,1966,1376,1101,275
722,Sunday,1,2016-09-04,2446,1761,1452,309
723,Monday,2,2016-09-05,3779,2643,2145,498
724,Tuesday,3,2016-09-06,4619,3341,2727,614
725,Wednesday,4,2016-09-07,4983,3584,2925,659
726,Thursday,5,2016-09-08,4645,3319,2716,603
727,Friday,6,2016-09-09,3612,2630,2139,491
728,Saturday,7,2016-09-10,2153,1577,1323,254
729,Sunday,1,2016-09-11,3089,2307,1978,329
730,Monday,2,2016-09-12,4580,3446,2882,564
731,Tuesday,3,2016-09-13,4788,3625,2992,633
732,Wednesday,4,2016-09-14,5095,3759,3113,646
733,Thursday,5,2016-09-15,4668,3454,2860,594
734,Friday,6,2016-09-16,3711,2785,2272,513
735,Saturday,7,2016-09-17,2523,1861,1577,284
736,Sunday,1,2016-09-18,3364,2547,2122,425
737,Monday,2,2016-09-19,5513,4050,3321,729
738,Tuesday,3,2016-09-20,5362,3762,3095,667
739,Wednesday,4,2016-09-21,5402,3987,3293,694
740,Thursday,5,2016-09-22,5398,3996,3299,697
741,Friday,6,2016-09-23,3783,2663,2134,529
742,Saturday,7,2016-09-24,2395,1797,1503,294
743,Sunday,1,2016-09-25,3679,2719,2289,430
744,Monday,2,2016-09-26,5688,4325,3570,755
745,Tuesday,3,2016-09-27,5842,4382,3645,737
746,Wednesday,4,2016-09-28,5923,4458,3682,776
747,Thursday,5,2016-09-29,5717,4222,3487,735
748,Friday,6,2016-09-30,4250,3176,2565,611
749,Saturday,7,2016-10-01,2525,1986,1656,330
750,Sunday,1,2016-10-02,3923,3023,2559,464
751,Monday,2,2016-10-03,5785,4281,3545,736
752,Tuesday,3,2016-10-04,6052,4522,3780,742
753,Wednesday,4,2016-10-05,6150,4588,3814,774
754,Thursday,5,2016-10-06,5591,4134,3419,715
755,Friday,6,2016-10-07,4279,3196,2616,580
756,Saturday,7,2016-10-08,2897,2066,1717,349
757,Sunday,1,2016-10-09,3904,2873,2374,499
758,Monday,2,2016-10-10,5458,4145,3442,703
759,Tuesday,3,2016-10-11,5909,4399,3685,714
760,Wednesday,4,2016-10-12,6175,4620,3823,797
761,Thursday,5,2016-10-13,5856,4422,3581,841
762,Friday,6,2016-10-14,4610,3505,2837,668
763,Saturday,7,2016-10-15,3081,2269,1864,405
764,Sunday,1,2016-10-16,4390,3265,2718,547
765,Monday,2,2016-10-17,6507,4917,4018,899
766,Tuesday,3,2016-10-18,6941,5103,4189,914
767,Wednesday,4,2016-10-19,6576,4776,3961,815
768,Thursday,5,2016-10-20,5985,4462,3701,761
769,Friday,6,2016-10-21,4789,3497,2840,657
770,Saturday,7,2016-10-22,3263,2292,1881,411
771,Sunday,1,2016-10-23,4180,3135,2561,574
772,Monday,2,2016-10-24,6371,4865,3993,872
773,Tuesday,3,2016-10-25,6648,4960,4070,890
774,Wednesday,4,2016-10-26,6501,4777,3880,897
775,Thursday,5,2016-10-27,6088,4431,3574,857
776,Friday,6,2016-10-28,4376,3179,2510,669
777,Saturday,7,2016-10-29,2733,1955,1549,406
778,Sunday,1,2016-10-30,3953,2921,2344,577
779,Monday,2,2016-10-31,6108,4416,3563,853
780,Tuesday,3,2016-11-01,5668,4185,3360,825
781,Wednesday,4,2016-11-02,6159,4508,3663,845
782,Thursday,5,2016-11-03,5810,4241,3426,815
783,Friday,6,2016-11-04,4491,3394,2670,724
784,Saturday,7,2016-11-05,3110,2263,1842,421
785,Sunday,1,2016-11-06,4418,3281,2713,568
786,Monday,2,2016-11-07,6529,4488,3573,915
787,Tuesday,3,2016-11-08,5756,4251,3437,814
788,Wednesday,4,2016-11-09,5716,4102,3315,787
789,Thursday,5,2016-11-10,5323,4022,3246,776
790,Friday,6,2016-11-11,4280,3085,2441,644
791,Saturday,7,2016-11-12,2982,2169,1777,392
792,Sunday,1,2016-11-13,4365,3172,2595,577
793,Monday,2,2016-11-14,6627,4888,3942,946
794,Tuesday,3,2016-11-15,6467,4808,3905,903
795,Wednesday,4,2016-11-16,6631,4903,3984,919
796,Thursday,5,2016-11-17,6378,4681,3779,902
797,Friday,6,2016-11-18,4767,3424,2734,690
798,Saturday,7,2016-11-19,3501,2580,2136,444
799,Sunday,1,2016-11-20,4647,3426,2777,649
800,Monday,2,2016-11-21,6336,4693,3788,905
801,Tuesday,3,2016-11-22,6222,4564,3646,918
802,Wednesday,4,2016-11-23,5527,3904,3082,822
803,Thursday,5,2016-11-24,4267,3197,2561,636
804,Friday,6,2016-11-25,3733,2678,2135,543
805,Saturday,7,2016-11-26,3299,2394,1907,487
806,Sunday,1,2016-11-27,4530,3396,2722,674
807,Monday,2,2016-11-28,6908,5047,4167,880
808,Tuesday,3,2016-11-29,7714,5338,4369,969
809,Wednesday,4,2016-11-30,7490,5425,4389,1036
810,Thursday,5,2016-12-01,7190,5081,4120,961
811,Friday,6,2016-12-02,5391,3977,3171,806
812,Saturday,7,2016-12-03,3575,2667,2178,489
813,Sunday,1,2016-12-04,5285,4031,3247,784
814,Monday,2,2016-12-05,7330,5439,4452,987
815,Tuesday,3,2016-12-06,7489,5479,4500,979
816,Wednesday,4,2016-12-07,7345,5467,4469,998
817,Thursday,5,2016-12-08,6679,4991,3998,993
818,Friday,6,2016-12-09,5403,3970,3190,780
819,Saturday,7,2016-12-10,3573,2712,2203,509
820,Sunday,1,2016-12-11,4834,3515,2838,677
821,Monday,2,2016-12-12,6905,4945,3988,957
822,Tuesday,3,2016-12-13,6743,4927,3942,985
823,Wednesday,4,2016-12-14,6201,4488,3593,895
824,Thursday,5,2016-12-15,5571,4071,3229,842
825,Friday,6,2016-12-16,3872,2780,2191,589
826,Saturday,7,2016-12-17,2613,1884,1480,404
827,Sunday,1,2016-12-18,3109,2293,1853,440
828,Monday,2,2016-12-19,4324,3145,2477,668
829,Tuesday,3,2016-12-20,4226,3064,2339,725
830,Wednesday,4,2016-12-21,3991,2914,2278,636
831,Thursday,5,2016-12-22,3160,2211,1728,483
832,Friday,6,2016-12-23,2386,1626,1257,369
833,Saturday,7,2016-12-24,1115,825,634,191
834,Sunday,1,2016-12-25,1387,930,740,190
835,Monday,2,2016-12-26,2147,1418,1142,276
836,Tuesday,3,2016-12-27,2686,1777,1349,428
837,Wednesday,4,2016-12-28,2885,1915,1476,439
838,Thursday,5,2016-12-29,2694,1837,1400,437
839,Friday,6,2016-12-30,2273,1541,1164,377
840,Saturday,7,2016-12-31,1188,836,643,193
841,Sunday,1,2017-01-01,1447,1039,832,207
842,Monday,2,2017-01-02,2568,1844,1448,396
843,Tuesday,3,2017-01-03,3566,2527,1970,557
844,Wednesday,4,2017-01-04,3941,2816,2226,590
845,Thursday,5,2017-01-05,3841,2625,2058,567
846,Friday,6,2017-01-06,3261,2338,1812,526
847,Saturday,7,2017-01-07,2241,1523,1204,319
848,Sunday,1,2017-01-08,2679,1892,1519,373
849,Monday,2,2017-01-09,4182,2841,2191,650
850,Tuesday,3,2017-01-10,4236,3039,2391,648
851,Wednesday,4,2017-01-11,4628,3206,2536,670
852,Thursday,5,2017-01-12,4205,3025,2403,622
853,Friday,6,2017-01-13,3459,2508,2033,475
854,Saturday,7,2017-01-14,2448,1744,1390,354
855,Sunday,1,2017-01-15,2853,2015,1586,429
856,Monday,2,2017-01-16,4638,3178,2543,635
857,Tuesday,3,2017-01-17,5325,3669,2942,727
858,Wednesday,4,2017-01-18,4866,3364,2670,694
859,Thursday,5,2017-01-19,4715,3375,2689,686
860,Friday,6,2017-01-20,3753,2713,2136,577
861,Saturday,7,2017-01-21,2481,1778,1437,341
862,Sunday,1,2017-01-22,3233,2401,1981,420
863,Monday,2,2017-01-23,5034,3660,2957,703
864,Tuesday,3,2017-01-24,4787,3593,2909,684
865,Wednesday,4,2017-01-25,4901,3602,2923,679
866,Thursday,5,2017-01-26,4398,3266,2653,613
867,Friday,6,2017-01-27,3823,2832,2267,565
868,Saturday,7,2017-01-28,2619,1901,1534,367
869,Sunday,1,2017-01-29,3518,2612,2205,407
870,Monday,2,2017-01-30,5178,3826,3127,699
871,Tuesday,3,2017-01-31,5290,3876,3127,749
872,Wednesday,4,2017-02-01,5469,4116,3402,714
873,Thursday,5,2017-02-02,5399,4028,3303,725
874,Friday,6,2017-02-03,4232,3012,2342,670
875,Saturday,7,2017-02-04,2828,2084,1697,387
876,Sunday,1,2017-02-05,3724,2783,2281,502
877,Monday,2,2017-02-06,5733,4249,3448,801
878,Tuesday,3,2017-02-07,5814,4284,3521,763
879,Wednesday,4,2017-02-08,5349,4006,3248,758
880,Thursday,5,2017-02-09,5025,3681,3010,671
881,Friday,6,2017-02-10,4044,2922,2335,587
882,Saturday,7,2017-02-11,2323,1731,1377,354
883,Sunday,1,2017-02-12,3147,2469,2005,464
884,Monday,2,2017-02-13,4972,3719,3014,705
885,Tuesday,3,2017-02-14,4878,3582,2897,685
886,Wednesday,4,2017-02-15,5288,3786,3039,747
887,Thursday,5,2017-02-16,4968,3668,2934,734
888,Friday,6,2017-02-17,3788,2748,2158,590
889,Saturday,7,2017-02-18,2514,1839,1496,343
890,Sunday,1,2017-02-19,3463,2602,2083,519
891,Monday,2,2017-02-20,4931,3700,3009,691
892,Tuesday,3,2017-02-21,5101,3873,3079,794
893,Wednesday,4,2017-02-22,5144,3727,2998,729
894,Thursday,5,2017-02-23,4433,3372,2657,715
895,Friday,6,2017-02-24,3597,2648,2111,537
896,Saturday,7,2017-02-25,2621,1826,1482,344
897,Sunday,1,2017-02-26,3397,2494,2021,473
898,Monday,2,2017-02-27,5062,3812,3009,803
899,Tuesday,3,2017-02-28,4926,3678,2933,745
900,Wednesday,4,2017-03-01,4936,3558,2822,736
901,Thursday,5,2017-03-02,4688,3441,2747,694
902,Friday,6,2017-03-03,3827,2699,2140,559
903,Saturday,7,2017-03-04,2452,1754,1408,346
904,Sunday,1,2017-03-05,3283,2394,1958,436
905,Monday,2,2017-03-06,4823,3481,2764,717
906,Tuesday,3,2017-03-07,4821,3662,2942,720
907,Wednesday,4,2017-03-08,5059,3613,2923,690
908,Thursday,5,2017-03-09,4585,3444,2744,700
909,Friday,6,2017-03-10,3682,2733,2178,555
910,Saturday,7,2017-03-11,2350,1714,1351,363
911,Sunday,1,2017-03-12,3056,2189,1755,434
912,Monday,2,2017-03-13,4746,3367,2721,646
913,Tuesday,3,2017-03-14,4613,3465,2808,657
914,Wednesday,4,2017-03-15,4560,3441,2694,747
915,Thursday,5,2017-03-16,4520,3304,2629,675
916,Friday,6,2017-03-17,3346,2433,1930,503
917,Saturday,7,2017-03-18,2253,1649,1325,324
918,Sunday,1,2017-03-19,2927,2267,1807,460
919,Monday,2,2017-03-20,4878,3463,2799,664
920,Tuesday,3,2017-03-21,4852,3481,2802,679
921,Wednesday,4,2017-03-22,4585,3430,2757,673
922,Thursday,5,2017-03-23,4477,3260,2600,660
923,Friday,6,2017-03-24,3654,2566,1993,573
924,Saturday,7,2017-03-25,2411,1760,1420,340
925,Sunday,1,2017-03-26,3054,2336,1882,454
926,Monday,2,2017-03-27,4696,3479,2765,714
927,Tuesday,3,2017-03-28,5033,3633,2875,758
928,Wednesday,4,2017-03-29,4948,3530,2809,721
929,Thursday,5,2017-03-30,4636,3390,2704,686
930,Friday,6,2017-03-31,3539,2636,2060,576
931,Saturday,7,2017-04-01,2371,1678,1338,340
932,Sunday,1,2017-04-02,2816,2159,1715,444
933,Monday,2,2017-04-03,4493,3356,2672,684
934,Tuesday,3,2017-04-04,4678,3486,2739,747
935,Wednesday,4,2017-04-05,4737,3484,2762,722
936,Thursday,5,2017-04-06,4775,3514,2806,708
937,Friday,6,2017-04-07,3658,2725,2181,544
938,Saturday,7,2017-04-08,2260,1664,1324,340
939,Sunday,1,2017-04-09,3343,2433,1933,500
940,Monday,2,2017-04-10,4640,3440,2756,684
941,Tuesday,3,2017-04-11,4694,3532,2867,665
942,Wednesday,4,2017-04-12,4771,3517,2800,717
943,Thursday,5,2017-04-13,4173,3017,2395,622
944,Friday,6,2017-04-14,3046,2238,1752,486
945,Saturday,7,2017-04-15,2260,1701,1333,368
946,Sunday,1,2017-04-16,2876,2143,1700,443
947,Monday,2,2017-04-17,4774,3402,2719,683
948,Tuesday,3,2017-04-18,5009,3702,2906,796
949,Wednesday,4,2017-04-19,5369,3852,3133,719
950,Thursday,5,2017-04-20,5020,3669,2969,700
951,Friday,6,2017-04-21,3935,2802,2203,599
952,Saturday,7,2017-04-22,2795,2049,1630,419
953,Sunday,1,2017-04-23,3795,2827,2305,522
954,Monday,2,2017-04-24,5489,4083,3252,831
955,Tuesday,3,2017-04-25,5680,4108,3336,772
956,Wednesday,4,2017-04-26,5383,3940,3205,735
957,Thursday,5,2017-04-27,4890,3695,2985,710
958,Friday,6,2017-04-28,3872,2887,2310,577
959,Saturday,7,2017-04-29,2790,1987,1602,385
960,Sunday,1,2017-04-30,3524,2616,2118,498
961,Monday,2,2017-05-01,4903,3551,2875,676
962,Tuesday,3,2017-05-02,5160,3802,3079,723
963,Wednesday,4,2017-05-03,5194,3766,2995,771
964,Thursday,5,2017-05-04,5142,3755,3013,742
965,Friday,6,2017-05-05,3836,2925,2323,602
966,Saturday,7,2017-05-06,2737,1981,1572,409
967,Sunday,1,2017-05-07,3386,2534,2025,509
968,Monday,2,2017-05-08,4816,3585,2900,685
969,Tuesday,3,2017-05-09,4734,3458,2763,695
970,Wednesday,4,2017-05-10,4761,3475,2754,721
971,Thursday,5,2017-05-11,4277,3224,2570,654
972,Friday,6,2017-05-12,3563,2620,2056,564
973,Saturday,7,2017-05-13,2401,1749,1379,370
974,Sunday,1,2017-05-14,2877,2126,1674,452
975,Monday,2,2017-05-15,4448,3191,2494,697
976,Tuesday,3,2017-05-16,4525,3226,2593,633
977,Wednesday,4,2017-05-17,4533,3318,2676,642
978,Thursday,5,2017-05-18,4431,3307,2686,621
979,Friday,6,2017-05-19,3456,2470,1938,532
980,Saturday,7,2017-05-20,2162,1651,1332,319
981,Sunday,1,2017-05-21,2786,1971,1597,374
982,Monday,2,2017-05-22,4172,3041,2403,638
983,Tuesday,3,2017-05-23,4255,3077,2457,620
984,Wednesday,4,2017-05-24,4154,2996,2400,596
985,Thursday,5,2017-05-25,3803,2839,2263,576
986,Friday,6,2017-05-26,2950,2183,1720,463
987,Saturday,7,2017-05-27,1909,1444,1155,289
988,Sunday,1,2017-05-28,2506,1781,1399,382
989,Monday,2,2017-05-29,3325,2457,1913,544
990,Tuesday,3,2017-05-30,4086,2909,2298,611
991,Wednesday,4,2017-05-31,3716,2667,2069,598
992,Thursday,5,2017-06-01,3702,2639,2103,536
993,Friday,6,2017-06-02,2959,2171,1680,491
994,Saturday,7,2017-06-03,2006,1471,1161,310
995,Sunday,1,2017-06-04,2479,1795,1419,376
996,Monday,2,2017-06-05,3501,2610,2072,538
997,Tuesday,3,2017-06-06,3985,2922,2361,561
998,Wednesday,4,2017-06-07,3920,2913,2314,599
999,Thursday,5,2017-06-08,3868,2796,2209,587
1000,Friday,6,2017-06-09,2921,2101,1660,441
1001,Saturday,7,2017-06-10,1655,1244,975,269
1002,Sunday,1,2017-06-11,2229,1622,1299,323
1003,Monday,2,2017-06-12,3660,2598,2020,578
1004,Tuesday,3,2017-06-13,3898,2809,2202,607
1005,Wednesday,4,2017-06-14,3912,2797,2200,597
1006,Thursday,5,2017-06-15,3604,2624,2029,595
1007,Friday,6,2017-06-16,2970,2105,1621,484
1008,Saturday,7,2017-06-17,1546,1187,957,230
1009,Sunday,1,2017-06-18,1944,1465,1146,319
1010,Monday,2,2017-06-19,3608,2493,1959,534
1011,Tuesday,3,2017-06-20,3514,2472,1905,567
1012,Wednesday,4,2017-06-21,3344,2475,1915,560
1013,Thursday,5,2017-06-22,3292,2351,1824,527
1014,Friday,6,2017-06-23,2469,1850,1445,405
1015,Saturday,7,2017-06-24,1296,925,702,223
1016,Sunday,1,2017-06-25,1546,1071,811,260
1017,Monday,2,2017-06-26,2948,1998,1528,470
1018,Tuesday,3,2017-06-27,3077,2190,1690,500
1019,Wednesday,4,2017-06-28,3028,2145,1649,496
1020,Thursday,5,2017-06-29,2738,1976,1474,502
1021,Friday,6,2017-06-30,2147,1478,1087,391
1022,Saturday,7,2017-07-01,1277,903,675,228
1023,Sunday,1,2017-07-02,1606,1142,879,263
1024,Monday,2,2017-07-03,2504,1726,1296,430
1025,Tuesday,3,2017-07-04,2218,1566,1217,349
1026,Wednesday,4,2017-07-05,3024,2149,1681,468
1027,Thursday,5,2017-07-06,2951,2047,1555,492
1028,Friday,6,2017-07-07,2401,1693,1310,383
1029,Saturday,7,2017-07-08,1242,891,700,191
1030,Sunday,1,2017-07-09,1511,1172,938,234
1031,Monday,2,2017-07-10,2934,2062,1619,443
1032,Tuesday,3,2017-07-11,3003,2140,1663,477
1033,Wednesday,4,2017-07-12,3073,2192,1710,482
1034,Thursday,5,2017-07-13,2933,2043,1550,493
